RUN	computerdatabase.TesteSicredi	testesicredi	1547996737334	0	3.0.2
USER	Teste Stress Avaliação Sicredi	190	START	1547996739511	1547996739511
USER	Teste Stress Avaliação Sicredi	191	START	1547996739525	1547996739525
USER	Teste Stress Avaliação Sicredi	192	START	1547996739527	1547996739527
USER	Teste Stress Avaliação Sicredi	193	START	1547996739528	1547996739528
USER	Teste Stress Avaliação Sicredi	194	START	1547996739529	1547996739529
USER	Teste Stress Avaliação Sicredi	195	START	1547996739530	1547996739530
USER	Teste Stress Avaliação Sicredi	196	START	1547996739531	1547996739531
USER	Teste Stress Avaliação Sicredi	197	START	1547996739532	1547996739532
USER	Teste Stress Avaliação Sicredi	198	START	1547996739533	1547996739533
USER	Teste Stress Avaliação Sicredi	199	START	1547996739535	1547996739535
USER	Teste Stress Avaliação Sicredi	200	START	1547996739536	1547996739536
USER	Teste Stress Avaliação Sicredi	201	START	1547996739537	1547996739537
USER	Teste Stress Avaliação Sicredi	202	START	1547996739538	1547996739538
USER	Teste Stress Avaliação Sicredi	203	START	1547996739540	1547996739540
USER	Teste Stress Avaliação Sicredi	204	START	1547996739542	1547996739542
USER	Teste Stress Avaliação Sicredi	205	START	1547996739543	1547996739543
USER	Teste Stress Avaliação Sicredi	206	START	1547996739545	1547996739545
USER	Teste Stress Avaliação Sicredi	207	START	1547996739547	1547996739547
USER	Teste Stress Avaliação Sicredi	208	START	1547996739549	1547996739549
USER	Teste Stress Avaliação Sicredi	209	START	1547996739550	1547996739550
USER	Teste Stress Avaliação Sicredi	210	START	1547996739551	1547996739551
USER	Teste Stress Avaliação Sicredi	211	START	1547996739552	1547996739552
USER	Teste Stress Avaliação Sicredi	212	START	1547996739553	1547996739553
USER	Teste Stress Avaliação Sicredi	213	START	1547996739554	1547996739554
USER	Teste Stress Avaliação Sicredi	214	START	1547996739555	1547996739555
USER	Teste Stress Avaliação Sicredi	215	START	1547996739557	1547996739557
USER	Teste Stress Avaliação Sicredi	216	START	1547996739557	1547996739557
USER	Teste Stress Avaliação Sicredi	217	START	1547996739565	1547996739565
USER	Teste Stress Avaliação Sicredi	218	START	1547996739566	1547996739566
USER	Teste Stress Avaliação Sicredi	219	START	1547996739567	1547996739567
USER	Teste Stress Avaliação Sicredi	220	START	1547996739569	1547996739569
USER	Teste Stress Avaliação Sicredi	221	START	1547996739570	1547996739570
USER	Teste Stress Avaliação Sicredi	222	START	1547996739584	1547996739584
USER	Teste Stress Avaliação Sicredi	223	START	1547996739586	1547996739586
USER	Teste Stress Avaliação Sicredi	224	START	1547996739588	1547996739588
USER	Teste Stress Avaliação Sicredi	225	START	1547996739602	1547996739602
USER	Teste Stress Avaliação Sicredi	226	START	1547996739619	1547996739619
USER	Teste Stress Avaliação Sicredi	227	START	1547996739629	1547996739629
USER	Teste Stress Avaliação Sicredi	228	START	1547996739630	1547996739630
USER	Teste Stress Avaliação Sicredi	229	START	1547996739631	1547996739631
USER	Teste Stress Avaliação Sicredi	230	START	1547996739640	1547996739640
USER	Teste Stress Avaliação Sicredi	231	START	1547996739641	1547996739641
USER	Teste Stress Avaliação Sicredi	232	START	1547996739642	1547996739642
USER	Teste Stress Avaliação Sicredi	233	START	1547996739644	1547996739644
USER	Teste Stress Avaliação Sicredi	234	START	1547996739646	1547996739646
USER	Teste Stress Avaliação Sicredi	235	START	1547996739647	1547996739647
USER	Teste Stress Avaliação Sicredi	236	START	1547996739649	1547996739649
USER	Teste Stress Avaliação Sicredi	237	START	1547996739650	1547996739650
USER	Teste Stress Avaliação Sicredi	238	START	1547996739651	1547996739651
USER	Teste Stress Avaliação Sicredi	239	START	1547996739651	1547996739651
USER	Teste Stress Avaliação Sicredi	240	START	1547996739652	1547996739652
USER	Teste Stress Avaliação Sicredi	241	START	1547996739658	1547996739658
USER	Teste Stress Avaliação Sicredi	242	START	1547996739659	1547996739659
USER	Teste Stress Avaliação Sicredi	243	START	1547996739661	1547996739661
USER	Teste Stress Avaliação Sicredi	244	START	1547996739663	1547996739663
USER	Teste Stress Avaliação Sicredi	245	START	1547996739664	1547996739664
USER	Teste Stress Avaliação Sicredi	246	START	1547996739665	1547996739665
USER	Teste Stress Avaliação Sicredi	247	START	1547996739667	1547996739667
USER	Teste Stress Avaliação Sicredi	248	START	1547996739668	1547996739668
USER	Teste Stress Avaliação Sicredi	249	START	1547996739668	1547996739668
USER	Teste Stress Avaliação Sicredi	250	START	1547996739669	1547996739669
USER	Teste Stress Avaliação Sicredi	251	START	1547996739671	1547996739671
USER	Teste Stress Avaliação Sicredi	252	START	1547996739672	1547996739672
USER	Teste Stress Avaliação Sicredi	253	START	1547996739673	1547996739673
USER	Teste Stress Avaliação Sicredi	254	START	1547996739679	1547996739679
USER	Teste Stress Avaliação Sicredi	255	START	1547996739680	1547996739680
USER	Teste Stress Avaliação Sicredi	256	START	1547996739681	1547996739681
USER	Teste Stress Avaliação Sicredi	257	START	1547996739682	1547996739682
USER	Teste Stress Avaliação Sicredi	258	START	1547996739682	1547996739682
USER	Teste Stress Avaliação Sicredi	259	START	1547996739683	1547996739683
USER	Teste Stress Avaliação Sicredi	260	START	1547996739684	1547996739684
USER	Teste Stress Avaliação Sicredi	261	START	1547996739685	1547996739685
USER	Teste Stress Avaliação Sicredi	262	START	1547996739686	1547996739686
USER	Teste Stress Avaliação Sicredi	263	START	1547996739687	1547996739687
USER	Teste Stress Avaliação Sicredi	264	START	1547996739688	1547996739688
USER	Teste Stress Avaliação Sicredi	265	START	1547996739692	1547996739692
USER	Teste Stress Avaliação Sicredi	266	START	1547996739692	1547996739692
USER	Teste Stress Avaliação Sicredi	267	START	1547996739693	1547996739693
USER	Teste Stress Avaliação Sicredi	268	START	1547996739694	1547996739694
USER	Teste Stress Avaliação Sicredi	269	START	1547996739695	1547996739695
USER	Teste Stress Avaliação Sicredi	270	START	1547996739695	1547996739695
USER	Teste Stress Avaliação Sicredi	271	START	1547996739697	1547996739697
USER	Teste Stress Avaliação Sicredi	272	START	1547996739698	1547996739698
USER	Teste Stress Avaliação Sicredi	273	START	1547996739699	1547996739699
USER	Teste Stress Avaliação Sicredi	274	START	1547996739702	1547996739702
USER	Teste Stress Avaliação Sicredi	275	START	1547996739703	1547996739703
USER	Teste Stress Avaliação Sicredi	276	START	1547996739705	1547996739705
USER	Teste Stress Avaliação Sicredi	277	START	1547996739706	1547996739706
USER	Teste Stress Avaliação Sicredi	278	START	1547996739707	1547996739707
USER	Teste Stress Avaliação Sicredi	279	START	1547996739708	1547996739708
USER	Teste Stress Avaliação Sicredi	280	START	1547996739709	1547996739709
USER	Teste Stress Avaliação Sicredi	281	START	1547996739711	1547996739711
USER	Teste Stress Avaliação Sicredi	282	START	1547996739712	1547996739712
USER	Teste Stress Avaliação Sicredi	283	START	1547996739713	1547996739713
USER	Teste Stress Avaliação Sicredi	284	START	1547996739714	1547996739714
USER	Teste Stress Avaliação Sicredi	285	START	1547996739715	1547996739715
USER	Teste Stress Avaliação Sicredi	286	START	1547996739718	1547996739718
USER	Teste Stress Avaliação Sicredi	287	START	1547996739719	1547996739719
USER	Teste Stress Avaliação Sicredi	288	START	1547996739720	1547996739720
USER	Teste Stress Avaliação Sicredi	289	START	1547996739720	1547996739720
USER	Teste Stress Avaliação Sicredi	290	START	1547996739721	1547996739721
USER	Teste Stress Avaliação Sicredi	291	START	1547996739722	1547996739722
USER	Teste Stress Avaliação Sicredi	292	START	1547996739723	1547996739723
USER	Teste Stress Avaliação Sicredi	293	START	1547996739724	1547996739724
USER	Teste Stress Avaliação Sicredi	294	START	1547996739725	1547996739725
USER	Teste Stress Avaliação Sicredi	295	START	1547996739726	1547996739726
USER	Teste Stress Avaliação Sicredi	296	START	1547996739728	1547996739728
USER	Teste Stress Avaliação Sicredi	297	START	1547996739730	1547996739730
USER	Teste Stress Avaliação Sicredi	298	START	1547996739731	1547996739731
USER	Teste Stress Avaliação Sicredi	299	START	1547996739732	1547996739732
USER	Teste Stress Avaliação Sicredi	300	START	1547996739733	1547996739733
REQUEST	58		Contar Votos	1547996739293	1547996740689	OK	 
REQUEST	105		Contar Votos	1547996739337	1547996740723	OK	 
REQUEST	163		Contar Votos	1547996739468	1547996740798	OK	 
REQUEST	151		Contar Votos	1547996739446	1547996740806	OK	 
REQUEST	161		Contar Votos	1547996739465	1547996740813	OK	 
REQUEST	169		Contar Votos	1547996739475	1547996740814	OK	 
REQUEST	193		Contar Votos	1547996739528	1547996740815	OK	 
REQUEST	160		Contar Votos	1547996739463	1547996740821	OK	 
REQUEST	168		Contar Votos	1547996739474	1547996740835	OK	 
REQUEST	230		Contar Votos	1547996739641	1547996740848	OK	 
REQUEST	155		Contar Votos	1547996739454	1547996740882	OK	 
REQUEST	298		Contar Votos	1547996739732	1547996740900	OK	 
REQUEST	33		Contar Votos	1547996739268	1547996740998	OK	 
REQUEST	65		Contar Votos	1547996739301	1547996741001	OK	 
REQUEST	170		Contar Votos	1547996739476	1547996741003	OK	 
REQUEST	3		Contar Votos	1547996739234	1547996741004	OK	 
REQUEST	43		Contar Votos	1547996739279	1547996741006	OK	 
REQUEST	89		Contar Votos	1547996739322	1547996741032	OK	 
REQUEST	84		Contar Votos	1547996739318	1547996741034	OK	 
REQUEST	113		Contar Votos	1547996739347	1547996741034	OK	 
REQUEST	167		Contar Votos	1547996739473	1547996741035	OK	 
REQUEST	152		Contar Votos	1547996739448	1547996741037	OK	 
REQUEST	86		Contar Votos	1547996739320	1547996741065	OK	 
REQUEST	73		Contar Votos	1547996739308	1547996741066	OK	 
REQUEST	39		Contar Votos	1547996739274	1547996741066	OK	 
REQUEST	50		Contar Votos	1547996739285	1547996741105	OK	 
REQUEST	226		Contar Votos	1547996739628	1547996741127	OK	 
REQUEST	7		Contar Votos	1547996739239	1547996741132	OK	 
REQUEST	190		Contar Votos	1547996739524	1547996741149	OK	 
REQUEST	257		Contar Votos	1547996739682	1547996741149	OK	 
REQUEST	121		Contar Votos	1547996739353	1547996741153	OK	 
REQUEST	158		Contar Votos	1547996739459	1547996741194	OK	 
REQUEST	218		Contar Votos	1547996739566	1547996741197	OK	 
REQUEST	199		Contar Votos	1547996739535	1547996741199	OK	 
REQUEST	206		Contar Votos	1547996739546	1547996741201	OK	 
REQUEST	249		Contar Votos	1547996739669	1547996741205	OK	 
REQUEST	150		Contar Votos	1547996739444	1547996741229	OK	 
REQUEST	28		Contar Votos	1547996739263	1547996741229	OK	 
REQUEST	12		Contar Votos	1547996739246	1547996741233	OK	 
REQUEST	233		Contar Votos	1547996739645	1547996741295	OK	 
REQUEST	227		Contar Votos	1547996739630	1547996741295	OK	 
REQUEST	232		Contar Votos	1547996739643	1547996741307	OK	 
REQUEST	231		Contar Votos	1547996739642	1547996741311	OK	 
REQUEST	83		Contar Votos	1547996739317	1547996741345	OK	 
REQUEST	137		Contar Votos	1547996739416	1547996741345	OK	 
REQUEST	291		Contar Votos	1547996739723	1547996741353	OK	 
REQUEST	292		Contar Votos	1547996739724	1547996741364	OK	 
REQUEST	44		Contar Votos	1547996739279	1547996741365	OK	 
REQUEST	264		Contar Votos	1547996739688	1547996741366	OK	 
REQUEST	147		Contar Votos	1547996739437	1547996741367	OK	 
REQUEST	259		Contar Votos	1547996739684	1547996741370	OK	 
REQUEST	13		Contar Votos	1547996739247	1547996741371	OK	 
REQUEST	248		Contar Votos	1547996739668	1547996741373	OK	 
REQUEST	256		Contar Votos	1547996739681	1547996741382	OK	 
REQUEST	251		Contar Votos	1547996739671	1547996741386	OK	 
REQUEST	243		Contar Votos	1547996739662	1547996741389	OK	 
REQUEST	240		Contar Votos	1547996739657	1547996741406	OK	 
REQUEST	81		Contar Votos	1547996739316	1547996741406	OK	 
REQUEST	244		Contar Votos	1547996739663	1547996741416	OK	 
REQUEST	30		Contar Votos	1547996739265	1547996741423	OK	 
REQUEST	235		Contar Votos	1547996739648	1547996741430	OK	 
REQUEST	27		Contar Votos	1547996739263	1547996741431	OK	 
REQUEST	109		Contar Votos	1547996739341	1547996741438	OK	 
REQUEST	16		Contar Votos	1547996739251	1547996741440	OK	 
REQUEST	9		Contar Votos	1547996739243	1547996741440	OK	 
REQUEST	38		Contar Votos	1547996739273	1547996741443	OK	 
REQUEST	24		Contar Votos	1547996739260	1547996741446	OK	 
REQUEST	188		Contar Votos	1547996739508	1547996741460	OK	 
REQUEST	61		Contar Votos	1547996739297	1547996741461	OK	 
REQUEST	189		Contar Votos	1547996739510	1547996741463	OK	 
REQUEST	179		Contar Votos	1547996739490	1547996741471	OK	 
REQUEST	299		Contar Votos	1547996739733	1547996741480	OK	 
REQUEST	15		Contar Votos	1547996739250	1547996741482	OK	 
REQUEST	186		Contar Votos	1547996739504	1547996741482	OK	 
REQUEST	177		Contar Votos	1547996739486	1547996741485	OK	 
REQUEST	162		Contar Votos	1547996739467	1547996741488	OK	 
REQUEST	297		Contar Votos	1547996739731	1547996741499	OK	 
REQUEST	174		Contar Votos	1547996739481	1547996741499	OK	 
REQUEST	296		Contar Votos	1547996739730	1547996741514	OK	 
REQUEST	204		Contar Votos	1547996739542	1547996741524	OK	 
REQUEST	222		Contar Votos	1547996739584	1547996741526	OK	 
REQUEST	157		Contar Votos	1547996739457	1547996741530	OK	 
REQUEST	203		Contar Votos	1547996739540	1547996741534	OK	 
REQUEST	215		Contar Votos	1547996739557	1547996741563	OK	 
REQUEST	159		Contar Votos	1547996739460	1547996741568	OK	 
REQUEST	197		Contar Votos	1547996739533	1547996741575	OK	 
REQUEST	282		Contar Votos	1547996739713	1547996741576	OK	 
REQUEST	265		Contar Votos	1547996739692	1547996741584	OK	 
REQUEST	41		Contar Votos	1547996739276	1547996741603	OK	 
REQUEST	49		Contar Votos	1547996739284	1547996741603	OK	 
REQUEST	57		Contar Votos	1547996739293	1547996741608	OK	 
REQUEST	260		Contar Votos	1547996739685	1547996741612	OK	 
REQUEST	258		Contar Votos	1547996739683	1547996741616	OK	 
REQUEST	250		Contar Votos	1547996739670	1547996741619	OK	 
REQUEST	247		Contar Votos	1547996739667	1547996741627	OK	 
